Type,Date,Price,Position_Size,Capital,Trailing_Stop,ATR,Profit,Exit_Reason
Buy,2024-01-15 21:00:00,145.716,2010.804030506252,146503.16005462452,141.34452000000002,0.16291931001022592,,
Sell,2024-01-22 10:00:00,148.017,,151130.0201288194,,,4626.860074194861,Short MA Crossed Below Medium MA
Buy,2024-02-02 20:00:00,148.308,2038.0562090894543,151130.0201288194,143.85876,0.27756326126526143,,
Sell,2024-02-07 04:00:00,147.971,,150443.19518635626,,,-686.8249424631239,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2024-02-11 22:00:00,149.256,2015.9081736929338,150443.19518635626,144.77832,0.14525985017193385,,
Sell,2024-02-15 18:00:00,149.921,,151783.77412186205,,,1340.578935505785,Short MA Crossed Below Medium MA
Buy,2024-02-20 15:00:00,149.784,2026.7021059907875,151783.77412186205,145.29047999999997,0.13312748523639645,,
Sell,2024-02-20 19:00:00,150.02,,152262.07581887592,,,478.3016970138632,Short MA Crossed Below Medium MA
Buy,2024-03-05 15:00:00,149.983,2030.3911219121624,152262.07581887592,145.48351,0.14686610411662543,,
Sell,2024-03-05 19:00:00,149.934,,152162.58665390222,,,-99.48916497370935,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2024-03-20 18:00:00,150.786,2018.2588125409816,152162.58665390222,146.26242,0.21527817194201934,,
Sell,2024-03-25 02:00:00,151.134,,152864.94072066646,,,702.3540667642309,Short MA Crossed Below Medium MA
Buy,2024-04-02 21:00:00,151.566,2017.1402652397828,152864.94072066646,147.01902,0.0866340238933897,,
Sell,2024-04-04 18:00:00,151.202,,152130.70166411917,,,-734.2390565472897,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2024-04-08 10:00:00,151.851,2003.683896241963,152130.70166411917,147.29547,0.09826827342108845,,
Sell,2024-04-18 05:00:00,154.285,,157007.6682675721,,,4876.966603452933,Short MA Crossed Below Medium MA
Buy,2024-04-18 19:00:00,154.619,2030.8974740177093,157007.6682675721,149.98042999999998,0.1325914796892626,,
Sell,2024-04-19 06:00:00,154.42,,156603.51967024256,,,-404.1485973295491,Short MA Crossed Below Medium MA (Triggered Trading Halt)
